Filtered Pattern, Confidence-Frequence
Total number of input patterns: 2934
[[[['Vuota_T0_0,Vuota_T0_3'], ['Vuota_T1_0,Vuota_T1_2'], ['Vuota_T2_0']]], ['0.9444444444444444 - 17']]
[[[['QuasiVuota_T0_2,Vuota_T0_0,Vuota_T0_1,Vuota_T0_2'], ['Vuota_T2_0']]], ['0.9411764705882353 - 32']]
[[[['QuasiVuota_T0_1,Vuota_T0_0'], ['Vuota_T1_0,Vuota_T1_3'], ['Vuota_T2_0']]], ['0.9411764705882353 - 32']]
[[[['Vuota_T0_0,Vuota_T0_2,Vuota_T0_3'], ['Vuota_T1_0'], ['Vuota_T2_0']]], ['0.9411764705882353 - 16']]
[[[['Vuota_T0_0,Vuota_T0_2'], ['Vuota_T1_0,Vuota_T1_3'], ['Vuota_T2_0']]], ['0.9411764705882353 - 16']]
[[[['Vuota_T0_0,Vuota_T0_2'], ['Vuota_T1_2,Vuota_T1_3'], ['Vuota_T2_0']]], ['0.9411764705882353 - 16']]
[[[['Vuota_T0_0,Vuota_T0_3'], ['Vuota_T1_2,Vuota_T1_3'], ['Vuota_T2_0']]], ['0.9411764705882353 - 16']]
[[[['QuasiVuota_T0_0'], ['Vuota_T1_1,Vuota_T1_0'], ['Vuota_T2_0']]], ['0.9393939393939394 - 124']]
[[[['Vuota_T0_0,Vuota_T0_2'], ['QuasiVuota_T1_2,Vuota_T1_1'], ['Vuota_T2_0']]], ['0.9393939393939394 - 31']]
[[[['QuasiVuota_T0_1,Vuota_T0_0,Vuota_T0_3'], ['Vuota_T1_0'], ['Vuota_T2_0']]], ['0.9393939393939394 - 31']]
[[[['Vuota_T0_0'], ['QuasiVuota_T1_1,Vuota_T1_0,Vuota_T1_3'], ['Vuota_T2_0']]], ['0.9393939393939394 - 31']]
[[[['QuasiVuota_T0_2,Vuota_T0_0,Vuota_T0_2'], ['Vuota_T1_1'], ['Vuota_T2_0']]], ['0.9393939393939394 - 31']]
[[[['Vuota_T0_0,Vuota_T0_3'], ['QuasiVuota_T1_1,Vuota_T1_0'], ['Vuota_T2_0']]], ['0.9393939393939394 - 31']]
[[[['QuasiVuota_T0_0,Vuota_T0_1'], ['Vuota_T1_0'], ['Vuota_T2_0']]], ['0.937984496124031 - 121']]
[[[['Vuota_T0_0,Vuota_T0_1,Vuota_T0_2'], ['Vuota_T1_0']]], ['0.9375 - 105']]
[[[['Vuota_T0_0,Vuota_T0_2,Vuota_T0_3'], ['Vuota_T1_3'], ['Vuota_T2_0']]], ['0.9375 - 15']]
[[[['QuasiVuota_T0_1,Vuota_T0_0,Vuota_T0_3'], ['Vuota_T1_1'], ['Vuota_T2_0']]], ['0.9375 - 15']]
