TIME SLOT: extraction/30min Pattern, Confidence-Frequence
Total number of input patterns: 29371
[[[['QuasiPiena_T0_0'], ['Normal_T1_0,QuasiPiena_T1_2,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.8341346153846154 - 347']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3'], ['Normal_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.8341232227488151 - 176']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_2,Normal_T1_2,Normal_T1_2'], ['Normal_T2_2']]], ['0.8340425531914893 - 196']]
[[[['Normal_T0_0'], ['Normal_T1_2,Normal_T1_2,QuasiPiena_T1_1'], ['Normal_T2_2']]], ['0.8333333333333334 - 225']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_0,Normal_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.8333333333333334 - 135']]
[[[['Normal_T0_0,QuasiPiena_T0_0,QuasiPiena_T0_3'], ['QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.8315217391304348 - 306']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_0,QuasiPiena_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.8302583025830258 - 450']]
[[[['Normal_T0_0,QuasiPiena_T0_0'], ['QuasiPiena_T1_2,Normal_T1_3'], ['QuasiPiena_T2_2']]], ['0.8300970873786407 - 342']]
[[[['Normal_T0_0,Normal_T0_2'], ['QuasiPiena_T1_0,Normal_T1_2'], ['Normal_T2_2']]], ['0.8297520661157025 - 502']]
[[[['Normal_T0_0,Normal_T0_2,Normal_T0_2'], ['QuasiPiena_T1_0'], ['Normal_T2_2']]], ['0.8292682926829268 - 170']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_0,QuasiPiena_T1_1,Normal_T1_1'], ['Normal_T2_1']]], ['0.8280542986425339 - 366']]
[[[['Normal_T0_0,Normal_T0_2'], ['Normal_T1_0,QuasiPiena_T1_0'], ['Normal_T2_0']]], ['0.8278560250391236 - 529']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_0,Normal_T1_2,Normal_T1_1'], ['Normal_T2_2']]], ['0.8276699029126213 - 341']]
[[[['Normal_T0_0,QuasiPiena_T0_0,QuasiPiena_T0_2'], ['QuasiPiena_T1_2'], ['Normal_T2_2']]], ['0.8275862068965517 - 816']]
[[[['Normal_T0_0,QuasiPiena_T0_0,Normal_T0_1'], ['Normal_T1_1'], ['Normal_T2_1']]], ['0.8273381294964028 - 460']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2'], ['Normal_T1_2,Normal_T1_2'], ['Normal_T2_2']]], ['0.827178729689808 - 560']]
[[[['QuasiPiena_T0_0,Normal_T0_1,QuasiPiena_T0_1,QuasiPiena_T0_1'], ['Normal_T1_1']]], ['0.8269230769230769 - 86']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1'], ['Normal_T1_1,Normal_T1_1'], ['Normal_T2_1']]], ['0.8269230769230769 - 86']]
