Filtered Pattern, Confidence-Frequence
Total number of input patterns: 6322
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_3'], ['Normal_T2_0,QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.7486618571096113 - 3217']]
[[[['Normal_T0_0,QuasiPiena_T0_1,Normal_T0_3'], ['QuasiPiena_T1_0'], ['Normal_T2_0']]], ['0.7486282578875172 - 2183']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T2_2,Normal_T2_0,QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.7478162862778247 - 5308']]
[[[['QuasiPiena_T0_0'], ['Normal_T2_0,QuasiPiena_T2_0,Normal_T2_1'], ['Normal_T3_0']]], ['0.7476599808978033 - 3914']]
[[[['Normal_T0_0,QuasiPiena_T0_1'], ['QuasiPiena_T1_0,Normal_T1_3'], ['Normal_T2_0']]], ['0.7472005429250085 - 2202']]
[[[['Normal_T0_0,Normal_T0_2'], ['Normal_T2_0,QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.746984126984127 - 4706']]
[[[['Normal_T0_0,Normal_T0_3'], ['QuasiPiena_T1_0,QuasiPiena_T1_1'], ['Normal_T2_0']]], ['0.7465313028764805 - 2206']]
[[[['Normal_T0_0,QuasiPiena_T0_1,QuasiPiena_T0_3'], ['QuasiPiena_T1_0'], ['Normal_T2_0']]], ['0.7457568410114306 - 2153']]
[[[['Normal_T0_0'], ['Normal_T1_0'], ['QuasiPiena_T2_0,Normal_T2_1'], ['Normal_T3_0']]], ['0.7453921988855551 - 3478']]
[[[['Normal_T0_0'], ['Normal_T1_0,QuasiPiena_T1_0'], ['QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.7451377178189994 - 13256']]
[[[['Normal_T0_0'], ['Normal_T1_0'], ['QuasiPiena_T2_0,QuasiPiena_T2_3'], ['Normal_T3_0']]], ['0.7445864857813723 - 2854']]
[[[['Normal_T0_0'], ['Normal_T1_0'], ['QuasiPiena_T2_0,Normal_T2_3'], ['Normal_T3_0']]], ['0.7442992569818089 - 2905']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_0'], ['QuasiPiena_T2_0,Normal_T2_1'], ['Normal_T3_0']]], ['0.744078683259735 - 3707']]
[[[['Normal_T0_0,QuasiPiena_T0_3'], ['QuasiPiena_T1_0,QuasiPiena_T1_1'], ['Normal_T2_0']]], ['0.7440215560794881 - 2209']]
[[[['Normal_T0_0,QuasiPiena_T0_2'], ['Normal_T2_0,QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.7436346276257161 - 4673']]
[[[['Normal_T0_0'], ['Normal_T1_0'], ['QuasiPiena_T2_0,QuasiPiena_T2_1'], ['Normal_T3_0']]], ['0.743188923626619 - 3328']]
[[[['Normal_T0_0'], ['QuasiPiena_T1_0,QuasiPiena_T1_1,QuasiPiena_T1_3'], ['Normal_T2_0']]], ['0.7428958051420839 - 2196']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_0,Normal_T1_1,Normal_T1_3'], ['Normal_T2_0']]], ['0.7423616845582164 - 2697']]
[[[['QuasiPiena_T0_0'], ['Normal_T2_2,Normal_T2_0,QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.7419082465522094 - 5272']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_1'], ['Normal_T2_0,QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.741790461297889 - 3795']]
