Filtered Pattern, Confidence-Frequence
Total number of input patterns: 3528
[[[['Normal_T0_0,Normal_T0_3'], ['QuasiVuota_T1_1,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.6758599633625076 - 6641']]
[[[['Normal_T0_0,QuasiVuota_T0_3'], ['QuasiVuota_T1_2,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.675018855275287 - 8055']]
[[[['Normal_T0_0'], ['Normal_T1_2,QuasiVuota_T1_0,QuasiVuota_T1_3'], ['Normal_T2_0']]], ['0.6746724890829694 - 8034']]
[[[['Normal_T0_0,QuasiVuota_T0_0,Normal_T0_2,Normal_T0_2'], ['Normal_T1_0']]], ['0.674601935685295 - 17286']]
[[[['Normal_T0_0,Normal_T0_3'], ['Normal_T1_1,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.6742476227820802 - 6878']]
[[[['Normal_T0_0,QuasiVuota_T0_0,Normal_T0_2,QuasiVuota_T0_1'], ['Normal_T1_0']]], ['0.6741780045351474 - 19028']]
[[[['Normal_T0_0,Normal_T0_1,QuasiVuota_T0_3'], ['QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.6739588559959859 - 6716']]
[[[['Normal_T0_0'], ['QuasiVuota_T1_2,QuasiVuota_T1_0,Normal_T1_3'], ['Normal_T2_0']]], ['0.6736693514904925 - 8113']]
[[[['Normal_T0_0,QuasiVuota_T0_0,Normal_T0_1,Normal_T0_1'], ['Normal_T1_0']]], ['0.6734396165468376 - 12926']]
[[[['QuasiVuota_T0_0'], ['Normal_T1_1,QuasiVuota_T1_0,QuasiVuota_T1_3'], ['Normal_T2_0']]], ['0.6733105693639323 - 8479']]
[[[['Normal_T0_0,Normal_T0_1'], ['QuasiVuota_T1_0,Normal_T1_3'], ['Normal_T2_0']]], ['0.6731556354197864 - 6743']]
[[[['Normal_T0_0,QuasiVuota_T0_1,QuasiVuota_T0_3'], ['QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.6730963441728943 - 6665']]
[[[['Normal_T0_0,QuasiVuota_T0_3'], ['Normal_T1_2,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.6725459490645347 - 8160']]
[[[['Normal_T0_0,QuasiVuota_T0_2'], ['QuasiVuota_T1_0,QuasiVuota_T1_3'], ['Normal_T2_0']]], ['0.6723569678019099 - 7956']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_1,QuasiVuota_T1_0,QuasiVuota_T1_3'], ['Normal_T2_0']]], ['0.6722887639533937 - 8251']]
[[[['Normal_T0_0,QuasiVuota_T0_0,QuasiVuota_T0_2,Normal_T0_1'], ['Normal_T1_0']]], ['0.6720966156438702 - 19144']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_0,QuasiVuota_T1_3,QuasiVuota_T1_3'], ['Normal_T2_0']]], ['0.6720371048455999 - 5506']]
[[[['Normal_T0_0,QuasiVuota_T0_0,QuasiVuota_T0_2,QuasiVuota_T0_2'], ['Normal_T1_0']]], ['0.6711682915135049 - 16798']]
[[[['Normal_T0_0,Normal_T0_3'], ['QuasiVuota_T1_2,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.6709281089158227 - 8082']]
[[[['Normal_T0_0,Normal_T0_3'], ['Normal_T1_2,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.6699926989535167 - 8259']]
[[[['Normal_T0_0,QuasiVuota_T0_1'], ['QuasiVuota_T1_0,Normal_T1_3'], ['Normal_T2_0']]], ['0.6699739426738825 - 6685']]
[[[['Normal_T0_0,Normal_T0_1,Normal_T0_3'], ['QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.6697752036909786 - 6823']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_1,QuasiVuota_T1_0,Normal_T1_3'], ['Normal_T2_0']]], ['0.6693631533031962 - 8440']]
[[[['Normal_T0_0,QuasiVuota_T0_2,QuasiVuota_T0_3'], ['QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.6691140075895067 - 8111']]
[[[['Normal_T0_0'], ['Normal_T1_2,QuasiVuota_T1_0,Normal_T1_3'], ['Normal_T2_0']]], ['0.6689200195471575 - 8213']]
[[[['Normal_T0_0,QuasiVuota_T0_0,QuasiVuota_T0_2,QuasiVuota_T0_1'], ['Normal_T1_0']]], ['0.6686678101772442 - 18712']]
[[[['Normal_T0_0,QuasiVuota_T0_2,Normal_T0_3'], ['QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.6676453796590817 - 8186']]
[[[['Normal_T0_0,Normal_T0_2'], ['QuasiVuota_T1_0,QuasiVuota_T1_3'], ['Normal_T2_0']]], ['0.6676315341392814 - 7842']]
[[[['Normal_T0_0,QuasiVuota_T0_2'], ['QuasiVuota_T1_0,Normal_T1_3'], ['Normal_T2_0']]], ['0.667405037328739 - 8135']]
