Pattern, Confidence-Frequence
Total number of input patterns: 21851
[[[['QuasiPiena_T0_0'], ['Piena_T1_3,Piena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9666666666666667 - 29']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_3,Piena_T1_3,Piena_T1_3'], ['Piena_T2_3']]], ['0.9666666666666667 - 29']]
[[[['Piena_T0_0,Piena_T0_2'], ['Piena_T1_1,Piena_T1_1'], ['QuasiPiena_T2_1']]], ['0.9662921348314607 - 172']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_1,QuasiPiena_T1_1'], ['QuasiPiena_T2_1']]], ['0.9660899653979239 - 2792']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_3,Piena_T1_0'], ['QuasiPiena_T2_3']]], ['0.9660253786328284 - 2360']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_1,QuasiPiena_T1_1,QuasiPiena_T1_3'], ['QuasiPiena_T2_1']]], ['0.965843023255814 - 1329']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_1,QuasiPiena_T1_1,Piena_T1_3'], ['QuasiPiena_T2_1']]], ['0.9658314350797267 - 424']]
[[[['Piena_T0_0'], ['Piena_T1_1,Piena_T1_1,Piena_T1_3'], ['Piena_T2_1']]], ['0.9649122807017544 - 55']]
[[[['QuasiPiena_T0_2,Piena_T0_0'], ['QuasiPiena_T1_1,QuasiPiena_T1_1'], ['QuasiPiena_T2_1']]], ['0.9647266313932981 - 2735']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_1,QuasiPiena_T1_1,Piena_T1_2'], ['QuasiPiena_T2_1']]], ['0.9645320197044335 - 979']]
[[[['QuasiPiena_T0_2,Piena_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9642529789184234 - 2104']]
[[[['QuasiPiena_T0_1,Piena_T0_0'], ['QuasiPiena_T1_1,QuasiPiena_T1_1'], ['QuasiPiena_T2_1']]], ['0.9636287625418061 - 4610']]
[[[['Piena_T0_0'], ['Piena_T1_2,Piena_T1_1,Piena_T1_1'], ['QuasiPiena_T2_1']]], ['0.9633507853403142 - 184']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_1,QuasiPiena_T1_1,Piena_T1_1'], ['QuasiPiena_T2_1']]], ['0.9633436772692009 - 4967']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_1,QuasiPiena_T1_1'], ['QuasiPiena_T2_1']]], ['0.9631205673758865 - 4753']]
[[[['Piena_T0_0,Piena_T0_3'], ['QuasiPiena_T1_1,QuasiPiena_T1_1'], ['QuasiPiena_T2_1']]], ['0.962877030162413 - 415']]
[[[['QuasiPiena_T0_3,Piena_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9625531914893617 - 3393']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9622797356828194 - 3495']]
[[[['QuasiPiena_T0_3,Piena_T0_0'], ['QuasiPiena_T1_1,QuasiPiena_T1_1'], ['QuasiPiena_T2_1']]], ['0.9622093023255814 - 1324']]
[[[['QuasiPiena_T0_0,Piena_T0_1'], ['QuasiPiena_T1_1,QuasiPiena_T1_1'], ['QuasiPiena_T2_1']]], ['0.961787429525997 - 4606']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_0,QuasiPiena_T1_1,QuasiPiena_T1_1'], ['QuasiPiena_T2_1']]], ['0.961524094135226 - 2574']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_3,QuasiPiena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9608200455580865 - 2109']]
[[[['Piena_T0_0,Piena_T0_2'], ['QuasiPiena_T1_1,QuasiPiena_T1_1'], ['QuasiPiena_T2_1']]], ['0.9606854838709677 - 953']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_1,QuasiPiena_T1_1,Piena_T1_1'], ['QuasiPiena_T2_1']]], ['0.9606368863334808 - 2172']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_3,Piena_T1_0'], ['QuasiPiena_T2_3']]], ['0.9603803486529319 - 1818']]
[[[['QuasiPiena_T0_0,Piena_T0_0'], ['QuasiPiena_T1_1,QuasiPiena_T1_1'], ['QuasiPiena_T2_1']]], ['0.9600213219616205 - 3602']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_1,QuasiPiena_T1_3,QuasiPiena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9580524344569289 - 1279']]
