Pattern, Confidence-Frequence
Total number of input patterns: 29408
[[[['QuasiVuota_T0_2,QuasiVuota_T0_2,Vuota_T0_0,Vuota_T0_1'], ['QuasiVuota_T1_2']]], ['0.9719650372288766 - 15012']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_1,QuasiVuota_T0_1,Vuota_T0_1'], ['QuasiVuota_T1_1']]], ['0.9719593298375752 - 30399']]
[[[['Vuota_T0_0'], ['QuasiVuota_T1_2,QuasiVuota_T1_1,QuasiVuota_T1_1'], ['QuasiVuota_T2_1']]], ['0.9719573488656114 - 20692']]
[[[['QuasiVuota_T0_0'], ['Vuota_T1_3,Vuota_T1_3,Vuota_T1_3'], ['QuasiVuota_T2_3']]], ['0.9719268396427052 - 2285']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_2,QuasiVuota_T1_2,Vuota_T1_2'], ['QuasiVuota_T2_2']]], ['0.9719014421797669 - 36526']]
[[[['Vuota_T0_0'], ['QuasiVuota_T1_2,QuasiVuota_T1_2,QuasiVuota_T1_1'], ['QuasiVuota_T2_2']]], ['0.9718505647263249 - 22372']]
[[[['Vuota_T0_0'], ['QuasiVuota_T1_1,QuasiVuota_T1_1,Vuota_T1_1'], ['QuasiVuota_T2_1']]], ['0.9718473034814343 - 16777']]
[[[['QuasiVuota_T0_2,QuasiVuota_T0_2,Vuota_T0_0,Vuota_T0_3'], ['QuasiVuota_T1_2']]], ['0.97177734375 - 9951']]
[[[['QuasiVuota_T0_2,QuasiVuota_T0_2,QuasiVuota_T0_2,Vuota_T0_0'], ['QuasiVuota_T2_2']]], ['0.9717403645997603 - 15405']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_1,QuasiVuota_T0_1,Vuota_T0_2'], ['QuasiVuota_T1_1']]], ['0.9716401655412764 - 22304']]
[[[['QuasiVuota_T0_0,Vuota_T0_3'], ['QuasiVuota_T1_2,QuasiVuota_T1_2'], ['QuasiVuota_T2_2']]], ['0.9714404465027906 - 16361']]
[[[['Vuota_T0_0'], ['QuasiVuota_T1_2,QuasiVuota_T1_2,Vuota_T1_3'], ['QuasiVuota_T2_2']]], ['0.9713886950453594 - 9744']]
[[[['QuasiVuota_T0_0,Vuota_T0_0'], ['QuasiVuota_T1_1,QuasiVuota_T1_1'], ['QuasiVuota_T2_1']]], ['0.9713809969819961 - 18668']]
[[[['QuasiVuota_T0_0,Vuota_T0_0'], ['QuasiVuota_T1_2,QuasiVuota_T1_2'], ['QuasiVuota_T2_2']]], ['0.9713526997666372 - 24142']]
[[[['Vuota_T0_0,Vuota_T0_1'], ['QuasiVuota_T1_2,QuasiVuota_T1_2'], ['QuasiVuota_T2_2']]], ['0.97125 - 14763']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_2,QuasiVuota_T1_2,Vuota_T1_0'], ['QuasiVuota_T2_2']]], ['0.9712153518123667 - 18220']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2,QuasiVuota_T0_2,Vuota_T0_0'], ['QuasiVuota_T1_2']]], ['0.9712109061748195 - 24222']]
[[[['QuasiVuota_T0_0,Vuota_T0_3,Vuota_T0_3,Vuota_T0_3'], ['QuasiVuota_T1_3']]], ['0.9711742263671047 - 2291']]
[[[['Vuota_T0_0'], ['QuasiVuota_T1_0,QuasiVuota_T1_1,QuasiVuota_T1_1'], ['QuasiVuota_T2_1']]], ['0.9710978397109784 - 13171']]
[[[['QuasiVuota_T0_0'], ['Vuota_T1_3,Vuota_T1_3,Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9710761378136963 - 2283']]
[[[['Vuota_T0_0'], ['QuasiVuota_T1_2,QuasiVuota_T1_2,Vuota_T1_2'], ['QuasiVuota_T2_2']]], ['0.9709728409254204 - 20271']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_1,QuasiVuota_T1_1,Vuota_T1_1'], ['QuasiVuota_T2_1']]], ['0.9709359284174777 - 29732']]
[[[['Vuota_T0_0,Vuota_T0_2,Vuota_T0_2,Vuota_T0_2'], ['QuasiVuota_T1_2']]], ['0.970897529958425 - 3970']]
[[[['Vuota_T0_0,Vuota_T0_1,Vuota_T0_1,Vuota_T0_1'], ['QuasiVuota_T2_1']]], ['0.9707943925233645 - 3324']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_1,QuasiVuota_T1_1,Vuota_T1_2'], ['QuasiVuota_T2_1']]], ['0.9707865168539326 - 22032']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_2,QuasiVuota_T1_2,Vuota_T1_3'], ['QuasiVuota_T2_2']]], ['0.970628293953929 - 16391']]
[[[['Vuota_T0_0'], ['QuasiVuota_T1_2,QuasiVuota_T1_2,QuasiVuota_T1_3'], ['QuasiVuota_T2_2']]], ['0.9705604095943013 - 17440']]
[[[['QuasiVuota_T0_2,QuasiVuota_T0_2,QuasiVuota_T0_3,Vuota_T0_0'], ['QuasiVuota_T1_2']]], ['0.9705517501752872 - 17995']]
[[[['Vuota_T0_0'], ['QuasiVuota_T1_0,QuasiVuota_T1_2,QuasiVuota_T1_2'], ['QuasiVuota_T2_2']]], ['0.9704916143161777 - 16839']]
[[[['Vuota_T0_0,Vuota_T0_2'], ['QuasiVuota_T1_1,QuasiVuota_T1_1'], ['QuasiVuota_T2_1']]], ['0.9703141439951901 - 12911']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_1,QuasiVuota_T0_1,QuasiVuota_T0_3'], ['QuasiVuota_T1_1']]], ['0.9702506255709576 - 24428']]
