Pattern, Confidence-Frequence
Total number of input patterns: 19243
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2,QuasiVuota_T0_2'], ['QuasiVuota_T1_2']]], ['0.8218334154756037 - 6670']]
[[[['Normal_T0_0'], ['Normal_T1_0,Normal_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.8217171717171717 - 3254']]
[[[['Normal_T0_0'], ['Normal_T1_2,QuasiVuota_T1_2,QuasiVuota_T1_2'], ['Normal_T2_2']]], ['0.8216606498194946 - 5690']]
[[[['Normal_T0_0'], ['Normal_T1_2,Normal_T1_2,QuasiVuota_T1_1'], ['Normal_T2_2']]], ['0.821656050955414 - 1677']]
[[[['Normal_T0_0'], ['Normal_T1_0,QuasiVuota_T1_2,QuasiVuota_T1_2'], ['QuasiVuota_T2_2']]], ['0.8215339233038348 - 3342']]
[[[['QuasiVuota_T0_0,Normal_T0_2,Normal_T0_2,Normal_T0_1'], ['Normal_T1_2']]], ['0.8213636363636364 - 1807']]
[[[['QuasiVuota_T0_0'], ['Normal_T1_3,QuasiVuota_T1_2,QuasiVuota_T1_2'], ['QuasiVuota_T2_2']]], ['0.8211648892534865 - 3003']]
[[[['Normal_T0_0'], ['QuasiVuota_T1_3,QuasiVuota_T1_3,Normal_T1_1'], ['QuasiVuota_T2_3']]], ['0.8209912536443149 - 1408']]
[[[['Normal_T0_0,QuasiVuota_T0_3'], ['QuasiVuota_T1_2,QuasiVuota_T1_2'], ['QuasiVuota_T2_2']]], ['0.8209118209118209 - 3007']]
[[[['QuasiVuota_T0_0,Normal_T0_3,Normal_T0_3,Normal_T0_3'], ['QuasiVuota_T1_3']]], ['0.8208778173190985 - 1384']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3'], ['Normal_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.820735363736784 - 5201']]
[[[['QuasiVuota_T0_0'], ['Normal_T1_0,QuasiVuota_T1_3,QuasiVuota_T1_3'], ['QuasiVuota_T2_3']]], ['0.8203652739554665 - 3279']]
[[[['QuasiVuota_T0_0'], ['Normal_T1_3,Normal_T1_3,Normal_T1_2'], ['Normal_T2_3']]], ['0.820293060547415 - 2967']]
[[[['Normal_T0_0,QuasiVuota_T0_0'], ['Normal_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.8202208419599724 - 4754']]
[[[['Normal_T0_0'], ['QuasiVuota_T1_3,QuasiVuota_T1_3,QuasiVuota_T1_1'], ['QuasiVuota_T2_3']]], ['0.8201984821949796 - 1405']]
[[[['Normal_T0_0,QuasiVuota_T0_3,QuasiVuota_T0_3,Normal_T0_1'], ['QuasiVuota_T1_3']]], ['0.8201516793066089 - 1514']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_2,QuasiVuota_T1_2'], ['QuasiVuota_T2_2']]], ['0.8200455580865603 - 6480']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3,QuasiVuota_T0_2,QuasiVuota_T0_2'], ['Normal_T1_2']]], ['0.8199379918912473 - 3438']]
[[[['Normal_T0_0'], ['Normal_T1_0,QuasiVuota_T1_3,QuasiVuota_T1_3'], ['QuasiVuota_T2_3']]], ['0.8195657599201398 - 3284']]
[[[['QuasiVuota_T0_0,Normal_T0_2,Normal_T0_2'], ['Normal_T1_2']]], ['0.8195223007555448 - 6725']]
[[[['Normal_T0_0,QuasiVuota_T0_0'], ['QuasiVuota_T1_2,QuasiVuota_T1_2'], ['QuasiVuota_T2_2']]], ['0.8194782608695652 - 4712']]
[[[['Normal_T0_0'], ['Normal_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.8192893401015229 - 6456']]
[[[['Normal_T0_0'], ['QuasiVuota_T1_2,QuasiVuota_T1_2'], ['QuasiVuota_T2_2']]], ['0.8191597064034422 - 6473']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2,QuasiVuota_T0_2,Normal_T0_1'], ['Normal_T1_2']]], ['0.8191330343796711 - 1644']]
[[[['Normal_T0_0,Normal_T0_2,Normal_T0_2,Normal_T0_3'], ['Normal_T1_2']]], ['0.8190548395248926 - 3241']]
