Filtered Pattern, Confidence-Frequence
Total number of input patterns: 13485
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3'], ['QuasiVuota_T1_2,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6141417808840882 - 6766']]
[[[['Vuota_T0_0'], ['QuasiVuota_T1_2,Vuota_T1_0,Vuota_T1_3'], ['QuasiVuota_T2_0']]], ['0.6140042223786066 - 3490']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_3'], ['QuasiVuota_T2_0,Vuota_T2_0'], ['QuasiVuota_T3_0']]], ['0.6139861995753716 - 4627']]
[[[['QuasiVuota_T0_0'], ['Vuota_T1_2,Vuota_T1_0,Vuota_T1_3'], ['QuasiVuota_T2_0']]], ['0.6139355424421243 - 2705']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3,Vuota_T0_3'], ['Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6139071919248563 - 4379']]
[[[['QuasiVuota_T0_0'], ['Vuota_T2_1,Vuota_T2_3,Vuota_T2_0'], ['QuasiVuota_T3_0']]], ['0.6135812449474535 - 1518']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3'], ['QuasiVuota_T2_0,Vuota_T2_0'], ['QuasiVuota_T3_0']]], ['0.6135322601753698 - 4688']]
[[[['QuasiVuota_T0_0,Vuota_T0_3'], ['Vuota_T1_0,Vuota_T1_3'], ['QuasiVuota_T2_0']]], ['0.6134057971014493 - 3386']]
[[[['QuasiVuota_T0_2,QuasiVuota_T0_1,Vuota_T0_0,Vuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6132830188679246 - 4063']]
[[[['QuasiVuota_T0_1,Vuota_T0_0,Vuota_T0_2,Vuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6132752992383025 - 2818']]
[[[['Vuota_T0_0'], ['QuasiVuota_T1_3,Vuota_T1_0,Vuota_T1_1'], ['QuasiVuota_T2_0']]], ['0.6130553037171351 - 3381']]
[[[['Vuota_T0_0,Vuota_T0_3'], ['QuasiVuota_T1_1,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6130179991628296 - 2929']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3'], ['Vuota_T1_0,Vuota_T1_3'], ['QuasiVuota_T2_0']]], ['0.6130091004028048 - 4109']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2,QuasiVuota_T0_3,QuasiVuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6128034918614168 - 6739']]
[[[['QuasiVuota_T0_0,Vuota_T0_0'], ['QuasiVuota_T1_3,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6127135770714679 - 6670']]
[[[['QuasiVuota_T0_1,Vuota_T0_0'], ['QuasiVuota_T1_0'], ['Vuota_T2_0'], ['QuasiVuota_T3_0']]], ['0.6126810314376545 - 3469']]
[[[['Vuota_T0_0'], ['Vuota_T1_2'], ['Vuota_T2_3,Vuota_T2_0'], ['QuasiVuota_T3_0']]], ['0.6126084970306076 - 1341']]
[[[['QuasiVuota_T0_1,Vuota_T0_0,Vuota_T0_3'], ['Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6125026760864911 - 2861']]
