Filtered Pattern, Confidence-Frequence
Total number of input patterns: 3542
[[[['Vuota_T0_0,Vuota_T0_2,Vuota_T0_3,Vuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6212952799121844 - 1132']]
[[[['QuasiVuota_T0_0,Vuota_T0_3'], ['QuasiVuota_T1_2,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6209006747214812 - 3957']]
[[[['Vuota_T0_0'], ['QuasiVuota_T1_0,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6206796734788398 - 10721']]
[[[['QuasiVuota_T0_0,Vuota_T0_3'], ['QuasiVuota_T1_1,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6205218068535826 - 3187']]
[[[['Vuota_T0_0'], ['QuasiVuota_T1_3,QuasiVuota_T1_3,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6200522403054048 - 3086']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_1,Vuota_T0_0,Vuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6199044138318808 - 4410']]
[[[['QuasiVuota_T0_0,Vuota_T0_0,Vuota_T0_2,Vuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6194895591647331 - 3738']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_1,Vuota_T0_0,QuasiVuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6193568826231586 - 7820']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_1,Vuota_T0_3'], ['Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6187648456057007 - 3126']]
[[[['QuasiVuota_T0_0,Vuota_T0_0'], ['Vuota_T1_0,Vuota_T1_3'], ['QuasiVuota_T2_0']]], ['0.6183835182250397 - 3902']]
[[[['Vuota_T0_0,QuasiVuota_T0_3,Vuota_T0_1,Vuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6182115149040425 - 3028']]
[[[['QuasiVuota_T0_0,Vuota_T0_0,Vuota_T0_3'], ['Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6179391682184978 - 3982']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2,Vuota_T0_0,QuasiVuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6178360655737705 - 9422']]
[[[['QuasiVuota_T0_0,Vuota_T0_0,QuasiVuota_T0_3,Vuota_T0_2'], ['QuasiVuota_T1_0']]], ['0.6177285318559557 - 6244']]
[[[['QuasiVuota_T0_0,Vuota_T0_1,Vuota_T0_3'], ['Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.617338003502627 - 2115']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2,Vuota_T0_0,Vuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6172506738544474 - 5496']]
[[[['QuasiVuota_T0_0,Vuota_T0_3'], ['Vuota_T1_2,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6171088746569076 - 2698']]
[[[['QuasiVuota_T0_2,Vuota_T0_0,Vuota_T0_1,Vuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6163069544364509 - 2827']]
[[[['Vuota_T0_0,Vuota_T0_3'], ['Vuota_T1_0,Vuota_T1_1'], ['QuasiVuota_T2_0']]], ['0.6161982472045935 - 2039']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_1'], ['Vuota_T1_0,Vuota_T1_3'], ['QuasiVuota_T2_0']]], ['0.6161413370809075 - 3069']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_1,Vuota_T1_0,Vuota_T1_3'], ['QuasiVuota_T2_0']]], ['0.6161137440758294 - 3120']]
[[[['QuasiVuota_T0_0,Vuota_T0_2,Vuota_T0_3'], ['Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6160653505786249 - 2715']]
[[[['QuasiVuota_T0_0,Vuota_T0_3,Vuota_T0_3'], ['Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6157184185149469 - 1277']]
[[[['QuasiVuota_T0_2,Vuota_T0_0,QuasiVuota_T0_3,Vuota_T0_1'], ['QuasiVuota_T1_0']]], ['0.6157160963244613 - 4858']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3,QuasiVuota_T0_3'], ['Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.615628858705239 - 3490']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_3,Vuota_T1_0,Vuota_T1_3'], ['QuasiVuota_T2_0']]], ['0.6155249859629421 - 4385']]
[[[['QuasiVuota_T0_0,Vuota_T0_3'], ['QuasiVuota_T1_3,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6151711378353376 - 3990']]
[[[['QuasiVuota_T0_0,Vuota_T0_2'], ['Vuota_T1_0,Vuota_T1_3'], ['QuasiVuota_T2_0']]], ['0.6151556776556777 - 2687']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3'], ['QuasiVuota_T1_2,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6150782876278397 - 6796']]
[[[['Vuota_T0_0,QuasiVuota_T0_3,Vuota_T0_3,Vuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6149106592729513 - 1996']]
[[[['QuasiVuota_T0_0'], ['Vuota_T1_2,Vuota_T1_0,Vuota_T1_3'], ['QuasiVuota_T2_0']]], ['0.6148955495004541 - 2708']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3,Vuota_T0_3'], ['Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6148817802503477 - 4421']]
[[[['QuasiVuota_T0_2,QuasiVuota_T0_1,Vuota_T0_0,Vuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6148114355231143 - 4043']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_3,Vuota_T1_0,Vuota_T1_1'], ['QuasiVuota_T2_0']]], ['0.6147136273864384 - 3735']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2'], ['QuasiVuota_T1_3,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6145630166248723 - 6617']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_2,QuasiVuota_T1_3,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6143584993052339 - 6632']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3,QuasiVuota_T0_3,Vuota_T0_1'], ['QuasiVuota_T1_0']]], ['0.6141732283464567 - 3198']]
[[[['Vuota_T0_0,Vuota_T0_3'], ['QuasiVuota_T1_1,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6140202702702703 - 2908']]
[[[['QuasiVuota_T0_0,Vuota_T0_3'], ['Vuota_T1_0,Vuota_T1_3'], ['QuasiVuota_T2_0']]], ['0.6139652677279306 - 3394']]
[[[['QuasiVuota_T0_2,QuasiVuota_T0_2,Vuota_T0_0,Vuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6138861138861139 - 3687']]
[[[['QuasiVuota_T0_2,Vuota_T0_0,Vuota_T0_3'], ['Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6136012364760433 - 3573']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3,QuasiVuota_T0_3,Vuota_T0_2'], ['QuasiVuota_T1_0']]], ['0.6134806320794295 - 4387']]
[[[['Vuota_T0_0,QuasiVuota_T0_3,QuasiVuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6133481646273637 - 5514']]
[[[['QuasiVuota_T0_2,Vuota_T0_0'], ['Vuota_T1_0,Vuota_T1_3'], ['QuasiVuota_T2_0']]], ['0.6133262449051923 - 3461']]
[[[['Vuota_T0_0'], ['Vuota_T1_0,Vuota_T1_3,Vuota_T1_3'], ['QuasiVuota_T2_0']]], ['0.6128860489882854 - 1151']]
