Filtered Pattern, Confidence-Frequence
Total number of input patterns: 3542
[[[['QuasiVuota_T0_1,QuasiVuota_T0_1,Vuota_T0_0,Vuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6469960353766392 - 4243']]
[[[['QuasiVuota_T0_2,Vuota_T0_0,Vuota_T0_2,Vuota_T0_1'], ['QuasiVuota_T1_0']]], ['0.6465583320558026 - 8435']]
[[[['QuasiVuota_T0_2,Vuota_T0_0,QuasiVuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6461108214438072 - 13631']]
[[[['Vuota_T0_0,Vuota_T0_2,Vuota_T0_2,Vuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6458205599836501 - 3160']]
[[[['QuasiVuota_T0_2,QuasiVuota_T0_2,Vuota_T0_0,Vuota_T0_1'], ['QuasiVuota_T1_0']]], ['0.6455840024238751 - 8523']]
[[[['QuasiVuota_T0_1,Vuota_T0_0,Vuota_T0_2,Vuota_T0_2'], ['QuasiVuota_T1_0']]], ['0.645399749800978 - 5675']]
[[[['Vuota_T0_0,QuasiVuota_T0_3,Vuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6452486109132355 - 9058']]
[[[['QuasiVuota_T0_0,Vuota_T0_0,Vuota_T0_2,Vuota_T0_2'], ['QuasiVuota_T1_0']]], ['0.6450396825396826 - 6502']]
[[[['QuasiVuota_T0_1,QuasiVuota_T0_1,Vuota_T0_0,QuasiVuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6447747747747747 - 7157']]
[[[['Vuota_T0_0,Vuota_T0_2,Vuota_T0_1'], ['QuasiVuota_T1_0']]], ['0.6447723187537447 - 8609']]
[[[['Vuota_T0_0,Vuota_T0_3,Vuota_T0_3,Vuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6445029624753127 - 979']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2,Vuota_T0_0,Vuota_T0_1'], ['QuasiVuota_T1_0']]], ['0.6444283297075175 - 10664']]
[[[['QuasiVuota_T0_0,Vuota_T0_0,QuasiVuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6435737761632936 - 14882']]
[[[['Vuota_T0_0,Vuota_T0_2,Vuota_T0_1,Vuota_T0_1'], ['QuasiVuota_T1_0']]], ['0.6435320391685277 - 3746']]
[[[['QuasiVuota_T0_2,Vuota_T0_0,Vuota_T0_1,Vuota_T0_1'], ['QuasiVuota_T1_0']]], ['0.643409818569904 - 4823']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_1,Vuota_T0_0,Vuota_T0_2'], ['QuasiVuota_T1_0']]], ['0.642814762074285 - 10834']]
[[[['QuasiVuota_T0_2,QuasiVuota_T0_2,QuasiVuota_T0_2,Vuota_T0_0'], ['QuasiVuota_T1_0']]], ['0.6424153166421208 - 8724']]
[[[['QuasiVuota_T0_2,QuasiVuota_T0_1,Vuota_T0_0,Vuota_T0_1'], ['QuasiVuota_T1_0']]], ['0.6415716683062322 - 11087']]
[[[['QuasiVuota_T0_1,Vuota_T0_0,Vuota_T0_1,Vuota_T0_1'], ['QuasiVuota_T1_0']]], ['0.6410504659324701 - 5297']]
[[[['QuasiVuota_T0_2,Vuota_T0_0,Vuota_T0_2,Vuota_T0_2'], ['QuasiVuota_T1_0']]], ['0.6406120379758503 - 6950']]
[[[['Vuota_T0_0,Vuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6405645653796567 - 9440']]
[[[['Vuota_T0_0,Vuota_T0_2,Vuota_T0_2'], ['QuasiVuota_T1_0']]], ['0.6398130327192741 - 6981']]
[[[['QuasiVuota_T0_2,Vuota_T0_0,Vuota_T0_1'], ['QuasiVuota_T1_0']]], ['0.6397466793700611 - 11415']]
[[[['Vuota_T0_0,Vuota_T0_1,Vuota_T0_1'], ['QuasiVuota_T1_0']]], ['0.6394818901415208 - 5332']]
[[[['QuasiVuota_T0_2,QuasiVuota_T0_2,QuasiVuota_T0_1,Vuota_T0_0'], ['QuasiVuota_T1_0']]], ['0.6392736906010266 - 11583']]
[[[['QuasiVuota_T0_2,QuasiVuota_T0_1,Vuota_T0_0,Vuota_T0_2'], ['QuasiVuota_T1_0']]], ['0.6391554702495201 - 11322']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3,QuasiVuota_T0_3,Vuota_T0_2'], ['QuasiVuota_T1_0']]], ['0.6390397013912453 - 7533']]
[[[['Vuota_T0_0,QuasiVuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.638295303633949 - 15861']]
[[[['QuasiVuota_T0_1,Vuota_T0_0,Vuota_T0_2'], ['QuasiVuota_T1_0']]], ['0.6381734958363205 - 11572']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3,Vuota_T0_2,Vuota_T0_1'], ['QuasiVuota_T1_0']]], ['0.6381521995750373 - 8109']]
[[[['Vuota_T0_0,Vuota_T0_2,Vuota_T0_2,Vuota_T0_2'], ['QuasiVuota_T1_0']]], ['0.6378777064001904 - 2681']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_1,Vuota_T0_0,Vuota_T0_1'], ['QuasiVuota_T1_0']]], ['0.6376636233637664 - 11594']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2,QuasiVuota_T0_2,Vuota_T0_0'], ['QuasiVuota_T1_0']]], ['0.6375288151221761 - 13828']]
[[[['QuasiVuota_T0_1,QuasiVuota_T0_1,Vuota_T0_0,Vuota_T0_2'], ['QuasiVuota_T1_0']]], ['0.6375031977487848 - 7476']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3,Vuota_T0_2,Vuota_T0_2'], ['QuasiVuota_T1_0']]], ['0.6365332586995055 - 6823']]
[[[['QuasiVuota_T0_0'], ['Vuota_T1_1,Vuota_T1_0,Vuota_T1_3'], ['QuasiVuota_T2_0']]], ['0.6362156663275687 - 3127']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2,QuasiVuota_T0_1,Vuota_T0_0'], ['QuasiVuota_T1_0']]], ['0.6360843219254075 - 14906']]
[[[['QuasiVuota_T0_2,QuasiVuota_T0_2,Vuota_T0_0,Vuota_T0_2'], ['QuasiVuota_T1_0']]], ['0.6359447004608295 - 11730']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2,Vuota_T0_0,Vuota_T0_2'], ['QuasiVuota_T1_0']]], ['0.6355980317940954 - 13434']]
[[[['QuasiVuota_T0_0,Vuota_T0_0,Vuota_T0_1'], ['QuasiVuota_T1_0']]], ['0.6355725352860023 - 11978']]
[[[['QuasiVuota_T0_0'], ['Vuota_T1_0,Vuota_T1_3,Vuota_T1_3'], ['QuasiVuota_T2_0']]], ['0.6349949815991971 - 1898']]
[[[['QuasiVuota_T0_0,Vuota_T0_1,Vuota_T0_1,Vuota_T0_1'], ['QuasiVuota_T1_0']]], ['0.6346619687293548 - 2882']]
[[[['QuasiVuota_T0_0,Vuota_T0_0,Vuota_T0_2'], ['QuasiVuota_T1_0']]], ['0.633923630326508 - 13746']]
[[[['QuasiVuota_T0_0,Vuota_T0_2,Vuota_T0_2,Vuota_T0_1'], ['QuasiVuota_T1_0']]], ['0.6339219625674104 - 5995']]
[[[['QuasiVuota_T0_0,Vuota_T0_2,Vuota_T0_1,Vuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6339000383484596 - 4959']]
[[[['QuasiVuota_T0_0,Vuota_T0_3'], ['Vuota_T1_1,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6337859424920128 - 3174']]
[[[['QuasiVuota_T0_2,QuasiVuota_T0_2,Vuota_T0_0'], ['QuasiVuota_T1_0']]], ['0.6337249185388442 - 14781']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_3,Vuota_T1_1,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6334577114427861 - 5093']]
[[[['QuasiVuota_T0_0,Vuota_T0_2,Vuota_T0_3,Vuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6334264060630236 - 3176']]
[[[['QuasiVuota_T0_0'], ['Vuota_T1_2,Vuota_T1_1,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6334152909495375 - 5410']]
[[[['Vuota_T0_0,Vuota_T0_1,Vuota_T0_1,Vuota_T0_1'], ['QuasiVuota_T1_0']]], ['0.6331397126261082 - 2071']]
[[[['QuasiVuota_T0_1,Vuota_T0_0,Vuota_T0_1'], ['QuasiVuota_T1_0']]], ['0.6328259766615931 - 12473']]
[[[['QuasiVuota_T0_0'], ['Vuota_T1_2,Vuota_T1_2,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6324992891669036 - 4449']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_1,QuasiVuota_T0_3,Vuota_T0_2'], ['QuasiVuota_T1_0']]], ['0.6324342624985894 - 11208']]
[[[['QuasiVuota_T0_0,Vuota_T0_2,Vuota_T0_2,Vuota_T0_2'], ['QuasiVuota_T1_0']]], ['0.6320374253911921 - 3918']]
[[[['QuasiVuota_T0_1,QuasiVuota_T0_1,Vuota_T0_0,Vuota_T0_1'], ['QuasiVuota_T1_0']]], ['0.6319944114565141 - 9047']]
[[[['QuasiVuota_T0_2,QuasiVuota_T0_1,Vuota_T0_0'], ['QuasiVuota_T1_0']]], ['0.6316997862402026 - 15958']]
[[[['QuasiVuota_T0_2,QuasiVuota_T0_1,QuasiVuota_T0_1,Vuota_T0_0'], ['QuasiVuota_T1_0']]], ['0.6316354903943378 - 9995']]
[[[['QuasiVuota_T0_0'], ['Vuota_T1_1,Vuota_T1_1,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6312571646923959 - 3304']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_1,QuasiVuota_T0_1,Vuota_T0_0'], ['QuasiVuota_T1_0']]], ['0.6309337819973561 - 10500']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3,QuasiVuota_T0_3,Vuota_T0_1'], ['QuasiVuota_T1_0']]], ['0.6308983666061706 - 5562']]
[[[['QuasiVuota_T0_2,Vuota_T0_0,Vuota_T0_2'], ['QuasiVuota_T1_0']]], ['0.6308777772908541 - 14396']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3,Vuota_T0_1,Vuota_T0_1'], ['QuasiVuota_T1_0']]], ['0.63082068433239 - 4904']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_2,Vuota_T1_1,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6306386779812416 - 7060']]
[[[['QuasiVuota_T0_0,Vuota_T0_2,Vuota_T0_1,Vuota_T0_1'], ['QuasiVuota_T1_0']]], ['0.6299638989169675 - 5235']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2,Vuota_T0_1,Vuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6298846116551925 - 6496']]
[[[['QuasiVuota_T0_0,Vuota_T0_1,Vuota_T0_1,Vuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6297660311958405 - 2907']]
[[[['QuasiVuota_T0_0,Vuota_T0_2,Vuota_T0_2,Vuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.629549705078406 - 4376']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2,QuasiVuota_T0_3,Vuota_T0_1'], ['QuasiVuota_T1_0']]], ['0.6294559099437148 - 10736']]
[[[['Vuota_T0_0,Vuota_T0_1'], ['QuasiVuota_T1_0']]], ['0.6293641505753852 - 12907']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3,Vuota_T0_2,Vuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6291299956716202 - 8721']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_3,Vuota_T1_2,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6286779941980937 - 6068']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_1,Vuota_T0_2,Vuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6285450346420324 - 6804']]
[[[['Vuota_T0_0,Vuota_T0_2'], ['QuasiVuota_T1_0']]], ['0.6285422082072698 - 14750']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2,QuasiVuota_T0_3,Vuota_T0_2'], ['QuasiVuota_T1_0']]], ['0.6285138803748139 - 14354']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2,QuasiVuota_T0_3,QuasiVuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6284384257300042 - 10395']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3,Vuota_T0_2'], ['QuasiVuota_T1_0']]], ['0.6281826351148958 - 14680']]
[[[['QuasiVuota_T0_0,Vuota_T0_1,Vuota_T0_3,Vuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6280873061458931 - 2187']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_0,Vuota_T1_0,Vuota_T1_3'], ['QuasiVuota_T2_0']]], ['0.6276966800155018 - 4859']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2,Vuota_T0_2,Vuota_T0_1'], ['QuasiVuota_T1_0']]], ['0.6274642745384374 - 12031']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3'], ['Vuota_T1_1,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6272496678342795 - 5193']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_1,Vuota_T0_2,Vuota_T0_1'], ['QuasiVuota_T1_0']]], ['0.6270625328428797 - 11933']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2,Vuota_T0_0'], ['QuasiVuota_T1_0']]], ['0.6268903291396619 - 19732']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_1,Vuota_T0_2,Vuota_T0_2'], ['QuasiVuota_T1_0']]], ['0.6266894516078919 - 8068']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3,Vuota_T0_1,Vuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6265027071671102 - 6827']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2,Vuota_T0_1,Vuota_T0_1'], ['QuasiVuota_T1_0']]], ['0.626493933035307 - 6867']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2,Vuota_T0_2,Vuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6263923377084072 - 8829']]
[[[['QuasiVuota_T0_1,QuasiVuota_T0_1,Vuota_T0_0'], ['QuasiVuota_T1_0']]], ['0.6262816604777476 - 11300']]
[[[['QuasiVuota_T0_0,Vuota_T0_2,Vuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6262226847034339 - 9027']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_1,Vuota_T0_1,Vuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6259920634920635 - 6941']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_1,Vuota_T0_3,Vuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6259873617693523 - 3170']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_1,Vuota_T1_0,Vuota_T1_3'], ['QuasiVuota_T2_0']]], ['0.6259530572581851 - 4187']]
[[[['QuasiVuota_T0_0,Vuota_T0_3'], ['QuasiVuota_T1_0,Vuota_T1_0'], ['QuasiVuota_T2_0']]], ['0.6258329062019478 - 4884']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_1,QuasiVuota_T0_3,QuasiVuota_T0_3'], ['QuasiVuota_T1_0']]], ['0.6257042789706107 - 8218']]
[[[['QuasiVuota_T0_0,Vuota_T0_2,Vuota_T0_1'], ['QuasiVuota_T1_0']]], ['0.6256627243066885 - 12273']]
